City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
349,elizabeth city,90,US,1528089300,93,36.3,-76.22,68.0,6.93
350,presidencia roque saenz pena,36,AR,1528090036,81,-26.79,-60.44,37.9,4.94
351,gordeyevka,0,RU,1528090037,59,52.96,31.97,71.65,7.74
352,nouadhibou,12,MR,1528088400,82,20.93,-17.03,64.4,17.22
353,quthing,32,LS,1528090037,100,-30.4,27.7,22.96,2.37
354,tateyama,20,JP,1528084800,39,36.66,137.31,82.4,9.17
355,alofi,76,NU,1528088400,83,-19.06,-169.92,77.0,5.82
356,paracuru,40,BR,1528088400,88,-3.41,-39.03,78.8,5.82
357,chengde,0,CN,1528090038,29,40.97,117.93,82.27,9.19
358,saint-georges,68,CA,1528090038,56,46.12,-70.67,50.77,6.62
359,plock,0,PL,1528089804,61,52.55,19.71,74.08,4.38
360,kahului,40,US,1528088160,88,20.89,-156.47,77.0,18.34
361,vila velha,40,BR,1528088400,88,-3.71,-38.6,78.8,5.82
362,bam,0,IR,1528089897,11,29.11,58.36,97.48,9.19
363,oktyabrskiy,0,RU,1528086600,59,55.61,37.97,62.6,13.42
364,binay,12,PH,1528090039,86,13.5,122.6,89.38,3.94
365,cabra,20,ES,1528088400,93,37.47,-4.43,55.4,2.26
366,sao geraldo do araguaia,80,BR,1528090039,74,-6.4,-48.55,77.23,9.19
367,champerico,75,MX,1528087320,94,16.38,-93.6,71.6,1.7
368,brekstad,75,NO,1528087800,81,63.69,9.67,48.2,10.29
369,nigde,0,TR,1528090040,47,37.97,34.68,64.0,3.04
370,norman wells,75,CA,1528088400,58,65.28,-126.83,57.2,8.05
371,vao,76,EE,1528090040,82,59.1,26.19,60.4,9.75
372,kirkwall,92,GB,1528087800,87,58.98,-2.96,50.0,9.17
373,moyale,92,ET,1528090040,97,3.52,39.05,66.25,4.38
374,putyatino,8,RU,1528090041,48,54.16,41.12,73.09,16.91
375,ponta delgada,75,PT,1528088400,100,37.73,-25.67,66.2,17.22
376,khuzdar,0,PK,1528090041,12,27.8,66.62,102.97,4.61
377,delhi,0,IN,1528086600,39,28.65,77.22,98.6,5.82
378,sovetskiy,76,RU,1528090041,100,56.76,48.47,59.5,9.86
379,mae sai,75,MM,1528088400,70,20.44,99.89,89.6,3.36
380,madhipura,0,IN,1528090042,62,25.92,86.78,91.9,15.01
381,tasiilaq,88,GL,1528087800,86,65.61,-37.64,33.8,3.36
382,maragogi,92,BR,1528090042,98,-9.01,-35.22,75.43,8.41
383,minudasht,36,IR,1528090042,90,37.23,55.37,69.31,3.94
